date,pm10,pm25,no2,so2,co,o3,aerosol_index,latitude,longitude,source,cloud_fraction,qa_value
2023-01-01,70.913,48.779,23.912,11.538,456.958,80.458,0.324,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-02,82.688,57.429,21.688,9.138,476.833,83.958,0.371,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-03,67.692,47.275,14.917,7.879,403.792,85.417,0.366,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-04,56.242,39.137,10.892,12.225,343.25,95.708,0.337,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-05,83.046,58.054,12.408,14.013,456.875,94.375,1.191,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-06,120.308,83.967,12.588,22.625,531.583,87.167,1.497,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-07,91.158,63.538,12.521,18.921,467.167,87.25,0.907,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-08,66.95,46.608,12.525,11.312,373.583,80.5,0.474,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-09,63.354,44.062,23.463,9.379,437.208,63.625,0.278,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-10,66.558,46.392,34.762,7.475,525.125,53.625,0.23,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-11,85.475,59.217,41.896,17.579,632.5,56.458,0.301,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-12,71.25,46.246,50.617,23.542,701.333,35.208,0.312,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-13,61.167,40.033,43.729,25.242,517.792,44.083,0.28,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-14,63.887,43.988,35.6,12.2,587.333,59.5,0.259,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-15,61.038,42.367,24.004,12.442,567.083,76.625,0.278,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-16,59.896,41.646,19.412,11.562,501.958,88.0,0.307,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-17,58.292,40.613,15.942,11.75,423.25,93.542,0.292,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-18,64.55,45.042,19.604,8.958,409.458,88.5,0.285,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-19,75.979,53.058,33.504,10.7,538.25,78.792,0.353,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-20,102.483,71.579,53.488,19.721,781.208,61.792,0.363,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-21,82.9,57.404,40.962,18.417,548.708,62.333,0.346,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-22,80.408,54.854,39.642,22.975,574.417,65.333,0.317,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-23,95.833,66.183,45.004,26.825,612.5,58.375,0.38,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-24,128.275,87.742,41.9,31.025,707.708,69.583,0.689,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-25,117.654,81.242,28.483,21.479,677.708,75.375,0.697,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-26,92.188,63.767,15.296,12.737,486.917,84.083,0.885,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-27,95.646,66.229,11.121,11.092,465.083,95.458,0.815,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-28,96.942,66.992,19.779,10.308,491.375,81.0,1.007,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-29,127.35,87.479,39.779,23.8,762.583,79.125,1.233,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-30,114.283,78.704,45.538,12.925,765.833,72.292,0.99,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-01-31,73.567,50.604,16.529,6.954,372.208,72.625,0.444,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-02-01,54.504,37.683,12.013,8.279,356.583,89.292,0.413,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-02-02,40.421,28.067,20.688,6.625,352.75,76.125,0.256,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-02-03,45.562,31.725,27.142,6.175,412.25,73.958,0.259,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-02-04,45.629,31.846,28.104,6.392,450.542,73.375,0.195,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-02-05,51.758,36.137,38.438,9.483,558.875,68.708,0.151,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-02-06,83.988,55.25,54.171,22.071,857.458,48.833,0.225,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-02-07,58.733,36.654,39.183,10.483,556.375,49.417,0.177,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-02-08,46.688,32.229,36.412,6.504,541.042,60.875,0.114,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-02-09,60.758,42.379,46.887,14.983,669.458,69.875,0.137,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-02-10,98.2,68.038,70.325,33.346,1037.042,31.875,0.149,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-02-11,63.942,42.554,55.321,31.146,641.5,33.417,0.155,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-02-12,52.983,35.225,38.021,11.288,484.917,49.708,0.18,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-02-13,32.554,22.092,22.012,5.096,350.083,73.167,0.109,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-02-14,34.637,24.158,30.762,5.817,442.5,72.958,0.092,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-02-15,40.079,27.713,33.483,6.654,507.083,76.042,0.127,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-02-16,46.229,31.783,40.433,8.421,563.25,56.625,0.136,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-02-17,47.896,33.075,40.842,7.821,524.708,57.583,0.169,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-02-18,52.054,36.092,36.113,9.054,546.833,73.208,0.162,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-02-19,61.162,42.596,44.792,9.896,677.167,79.625,0.169,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-02-20,77.325,54.012,60.104,15.812,806.167,61.875,0.18,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-02-21,83.125,56.467,67.479,30.867,810.833,42.708,0.149,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-02-22,88.454,58.792,67.658,32.4,908.958,44.083,0.217,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-02-23,81.425,53.85,67.329,26.604,828.542,37.125,0.185,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-02-24,72.271,49.867,53.821,20.621,775.458,49.042,0.162,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-02-25,70.679,48.833,54.396,19.9,704.375,59.0,0.181,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-02-26,52.212,35.838,46.417,12.825,549.583,52.417,0.126,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-02-27,49.529,34.283,50.387,12.179,609.083,52.583,0.133,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-02-28,55.325,38.512,50.45,12.896,642.833,56.083,0.214,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-01,96.7,67.404,77.933,33.408,963.5,49.667,0.469,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-02,68.867,47.863,53.7,15.996,630.042,72.667,0.426,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-03,71.629,49.738,46.262,12.483,613.0,68.625,0.572,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-04,72.875,50.65,41.188,10.354,593.542,75.792,0.756,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-05,64.792,44.921,27.492,6.75,463.375,83.0,0.802,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-06,77.371,53.575,41.533,8.717,663.792,70.458,0.685,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-07,78.733,54.504,45.792,9.725,704.833,69.292,0.559,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-08,43.304,29.946,30.8,8.35,504.625,75.583,0.322,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-09,27.775,19.083,21.658,5.642,340.292,80.042,0.193,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-10,24.575,17.037,22.362,5.862,317.833,81.958,0.113,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-11,33.15,22.983,23.442,7.129,365.333,87.25,0.23,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-12,39.308,27.35,25.104,6.062,364.875,88.667,0.455,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-13,58.054,40.4,37.767,10.058,465.042,77.375,0.808,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-14,85.45,59.442,55.158,22.542,729.167,72.333,0.665,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-15,74.612,51.779,54.238,23.221,659.125,53.0,0.69,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-16,77.95,53.629,31.867,11.208,525.167,93.25,0.933,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-17,87.488,59.729,44.108,22.796,696.625,100.042,0.906,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-18,79.342,53.121,40.296,25.875,685.375,96.208,0.563,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-19,72.104,47.179,34.712,17.642,550.417,92.083,0.541,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-20,44.921,28.158,22.625,15.479,356.042,82.833,0.372,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-21,37.729,22.312,24.646,14.896,319.375,69.542,0.314,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-22,35.908,21.192,29.696,19.95,336.792,57.833,0.283,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-23,28.458,17.221,19.983,17.675,249.208,58.5,0.29,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-24,28.95,14.954,15.883,14.367,227.042,56.75,0.208,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-25,50.592,30.071,36.867,18.508,446.167,77.875,0.188,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-26,68.462,43.129,54.971,24.067,679.792,75.125,0.228,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-27,71.767,47.488,58.637,27.642,721.0,73.458,0.265,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-28,62.3,41.867,52.867,23.238,616.542,82.458,0.262,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-29,54.229,36.5,41.371,26.438,523.583,89.583,0.294,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-30,37.042,21.296,21.246,19.879,272.708,67.167,0.385,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-03-31,32.383,17.767,23.271,17.096,266.125,64.583,0.182,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-04-01,35.429,21.096,28.262,17.117,320.875,78.5,0.218,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-04-02,31.221,19.9,32.458,16.208,349.417,69.917,0.17,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-04-03,32.292,18.779,25.075,17.079,276.0,75.458,0.219,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-04-04,51.833,28.125,25.375,24.862,331.875,68.167,0.387,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-04-05,72.233,40.667,37.054,26.392,466.458,59.625,0.507,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-04-06,57.925,31.458,31.0,23.871,366.5,74.208,0.444,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-04-07,45.354,25.892,25.567,16.129,319.458,77.208,0.438,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-04-08,61.95,36.071,38.358,19.204,434.75,63.333,0.452,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-04-09,66.658,41.608,46.279,19.871,593.083,72.667,0.375,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
2023-04-10,52.058,33.996,36.912,12.888,472.625,84.375,0.397,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85
